movie,host,date,notes
Team America: World Police,Jackson,1/1/2009,the first ever movie night
Synecdoche: New York,Jackson,7/1/1905,
The Reader,Jackson,7/1/1905,
Kung Pow! Enter the Fist,Jackson,7/2/1905,
The Imaginarium of Dr. Parnassus,Jackson,7/2/1905,
Bowfinger,Jackson,7/2/1905,
Sneakers,Jackson,7/3/1905,
Orgazmo,Jackson,5/5/2011,
Brain Candy,Jackson,9/8/2011,
Cradle Will Rock,Jackson,12/29/2011,
Mulholland Drive,Jackson,7/4/1905,
Kentucky Fried Movie,Jackson,7/4/1905,
American Beauty,Jackson,11/29/2012,
Holy Smoke,Jackson,3/21/2013,
The Man Who Knew Too Little,Jackson,10/3/2013,
Time Code,Jackson,3/6/2014,
The Lives of Others,Jackson,6/27/2014,
Death to Smoochie,Jackson,10/30/2014,
Attack From Mars!,Jackson,3/17/2015,
The Science of Sleep,Jackson,7/7/2015,
Amadeus,Jackson,1/21/2016,
Watchmen,Jackson,5/12/2016,
Easy Rider,Jackson,9/1/2016,
Network,Jackson,1/5/2017,
The Naked Gun,Jackson,4/27/2017,
Raiders of the Lost Ark,Jackson,9/28/2017,
Waiting for Guffman,Angie,6/22/1905,
The Commitments,Angie,6/23/1905,
A Mighty Wind,Angie,6/24/1905,
The Hurt Locker,Angie,6/25/1905,
Ponyo,Angie,6/26/1905,
21 Grams,Angie,2/22/2011,
Cedar Rapids,Angie,6/30/2011,
Horrible Bosses,Angie,11/3/2011,
Moneyball,Angie,2/23/2012,
Hugo,Angie,7/4/1905,
Seabiscuit,Angie,10/4/2012,
Beasts of the Southern Wild,Angie,1/24/2013,
Zero Dark Thirty,Angie,4/8/2013,
Lars and the Real Girl,Angie,7/25/2013,
Safety Not Guaranteed,Angie,10/17/2013,
Nebraska,Angie,3/20/2014,
Her,Angie,7/24/2014,
Raising Arizona,Angie,11/13/2014,
The Imitation Game,Angie,3/31/2015,
The Theory of Everything,Angie,8/20/2015,
Jupiter Ascending,Angie,2/4/2016,
Room,Angie,5/26/2016,
The Full Monty,Angie,9/15/2016,
All the Way,Angie,1/19/2017,
Florence Foster Jenkins,Angie,5/11/2017,
The Big Sick,Angie,9/14/2017,
Firefly,Stacey,6/22/1905,
V for Vendetta,Stacey,6/23/1905,
Stardust,Stacey,6/24/1905,
Serenity,Stacey,6/25/1905,
Whip It,Stacey,6/26/1905,
Don Juan DeMarco,Stacey,6/27/1905,
The Last of the Mohicans,Laura,6/22/1905,
Inception,Laura,6/23/1905,
Top Gun,Laura,5/19/2011,
Tangled,Laura,9/22/2011,
Interview With a Vampire,Laura,1/12/2012,
Micmacs,Laura,7/4/1905,
The Expendables 2,Laura,12/13/2012,
Bridesmaids,Laura,4/4/2013,
Man on Fire,Zach,6/22/1905,
Vanilla Sky,Zach,6/23/1905,
Pitch Black,Zach,6/24/1905,
The Last Starfighter,Zach,6/25/1905,
The Fifth Element,Zach,6/26/1905,
Moon,Zach,6/27/1905,
Rescue Dawn,Zach,6/2/2011,
Sunshine,Zach,10/6/2011,
Jackie Brown,Zach,1/26/2012,
